Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
43;7;5,6498;1,7513;7,5991;1,3006;4,5239;17,3149;2,5000;0,4000;0,5000
44;7;5,6498;1,7513;7,5991;1,3006;4,5239;17,3149;2,5000;0,4000;0,5000
45;7;5,6498;1,7513;7,5991;1,3006;4,5239;17,3149;2,5000;0,4000;0,5000
46;7;5,6498;1,7513;7,5991;1,3006;4,5239;17,3149;2,5000;0,4000;0,5000
47;7;5,6498;1,7513;7,5991;1,3006;4,5239;17,3149;2,5000;0,4000;0,5000
48;7;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
49;7;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
50;8;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
51;8;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
52;8;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
53;8;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
54;8;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
55;8;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
56;8;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
57;9;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
58;9;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
59;9;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
60;9;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
61;9;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
62;9;5,6498;1,7513;7,5991;1,3006;4,5239;23,4260;2,5000;0,4000;0,5000
63;9;5,6498;1,7513;7,5991;1,3006;4,5239;29,5372;2,5000;0,4000;0,5000
64;10;3,3015;1,7513;4,4405;0,7600;2,6436;29,5372;2,5000;0,4000;0,5000
65;10;3,3015;1,7513;4,4405;0,7600;2,6436;29,5372;2,5000;0,4000;0,5000
66;10;3,3015;1,7513;4,4405;0,7600;2,6436;29,5372;2,5000;0,4000;0,5000
67;10;3,3015;1,7513;4,4405;0,7600;2,6436;29,5372;2,5000;0,4000;0,5000
68;10;3,3015;1,7513;4,4405;0,7600;2,6436;29,5372;2,5000;0,4000;0,5000
69;10;3,3015;1,7513;4,4405;0,7600;2,6436;29,5372;2,5000;0,4000;0,5000
70;10;3,3015;1,7513;4,4405;0,7600;2,6436;29,5372;2,5000;0,4000;0,5000
71;11;3,7573;1,7513;5,0537;0,8649;3,0086;29,5372;2,5000;0,4000;0,5000
72;11;3,7573;1,7513;5,0537;0,8649;3,0086;29,5372;2,5000;0,4000;0,5000
73;11;3,7573;1,7513;5,0537;0,8649;3,0086;29,5372;2,5000;0,4000;0,5000
74;11;3,7573;1,7513;5,0537;0,8649;3,0086;29,5372;2,5000;0,4000;0,5000
75;11;3,7573;1,7513;5,0537;0,8649;3,0086;29,5372;2,5000;0,4000;0,5000
76;11;3,7573;1,7513;5,0537;0,8649;3,0086;29,5372;2,5000;0,4000;0,5000
77;11;3,7573;1,7513;5,0537;0,8649;3,0086;29,5372;2,5000;0,4000;0,5000
78;12;3,7573;1,7513;5,0537;0,8649;3,0086;29,5372;2,5000;0,4000;0,5000
79;12;3,7573;1,7513;5,0537;0,8649;3,0086;29,5372;2,5000;0,4000;0,5000
80;12;3,7573;1,7513;5,0537;0,8649;3,0086;29,5372;2,5000;0,4000;0,5000
81;12;2,2544;1,7513;5,0537;0,8649;3,0086;35,6483;1,5000;0,4000;0,5000
82;12;2,2544;1,7513;5,0537;0,8649;3,0086;35,6483;1,5000;0,4000;0,5000
83;12;2,2544;1,7513;5,0537;0,8649;3,0086;35,6483;1,5000;0,4000;0,5000
84;12;2,2544;1,7513;5,0537;0,8649;3,0086;35,6483;1,5000;0,4000;0,5000
85;13;2,2544;1,5453;5,0537;0,8649;3,0086;35,6483;1,5000;0,4000;0,5000
86;13;2,2544;1,5453;5,0537;0,8649;3,0086;35,6483;1,5000;0,4000;0,5000
87;13;2,2544;1,5453;5,0537;0,8649;3,0086;35,6483;1,5000;0,4000;0,5000
88;13;2,2544;1,5453;5,0537;0,8649;3,0086;35,6483;1,5000;0,4000;0,5000
89;13;2,2544;1,5453;5,0537;0,8649;3,0086;35,6483;1,5000;0,4000;0,5000
90;13;2,2544;1,5453;5,0537;0,8649;3,0086;35,6483;1,5000;0,4000;0,5000
91;13;2,2544;1,5453;5,0537;0,8649;3,0086;35,6483;1,5000;0,4000;0,5000
92;14;2,2544;1,5453;5,0537;0,8649;3,0086;35,6483;1,5000;0,4000;0,5000
