Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
63;9;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
64;10;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
65;10;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
66;10;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
67;10;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
68;10;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
69;10;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
70;10;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
71;11;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
72;11;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
73;11;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
74;11;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
75;11;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
76;11;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
77;11;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
78;12;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
79;12;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
80;12;4,6643;3,6054;9,0739;1,5530;5,4019;29,5372;1,7285;0,4000;0,5000
81;12;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
82;12;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
83;12;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
84;12;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
85;13;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
86;13;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
87;13;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
88;13;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
89;13;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
90;13;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
91;13;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
92;14;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
93;14;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
94;14;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
95;14;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
96;14;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
97;14;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
98;14;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
99;15;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
100;15;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
101;15;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
102;15;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
103;15;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
104;15;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
105;15;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
106;16;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
107;16;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
108;16;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
109;16;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
110;16;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
111;16;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
112;16;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
113;17;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
114;17;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
115;17;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
116;17;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
117;17;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
118;17;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
119;17;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
120;18;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
121;18;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
122;18;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
123;18;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
124;18;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
125;18;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
126;18;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
127;19;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
128;19;5,6293;4,3513;10,9513;1,8743;6,5196;35,6483;1,7285;0,4000;0,5000
