Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
63;9;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
64;10;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
65;10;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
66;10;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
67;10;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
68;10;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
69;10;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
70;10;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
71;11;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
72;11;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
73;11;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
74;11;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
75;11;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
76;11;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
77;11;6,4149;3,0272;6,9577;1,1908;4,1421;29,5372;3,1002;0,4000;0,5000
