Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,6275;0,4890;1,9544;0,3345;1,1635;5,0926;2,8000;0,4000;0,5000
2;1;1,6275;0,4890;1,9544;0,3345;1,1635;5,0926;2,8000;0,4000;0,5000
3;1;1,6275;0,4890;1,9544;0,3345;1,1635;5,0926;2,8000;0,4000;0,5000
4;1;1,6275;0,4890;1,9544;0,3345;1,1635;5,0926;2,8000;0,4000;0,5000
5;1;1,6275;0,4890;1,9544;0,3345;1,1635;5,0926;2,8000;0,4000;0,5000
6;1;1,6275;0,4890;1,9544;0,3345;1,1635;5,0926;2,8000;0,4000;0,5000
7;1;1,6275;0,4890;1,9544;0,3345;1,1635;5,0926;2,8000;0,4000;0,5000
8;2;1,6275;0,4890;1,9544;0,3345;1,1635;5,0926;2,8000;0,4000;0,5000
9;2;1,6275;0,4890;1,9544;0,3345;1,1635;5,0926;2,8000;0,4000;0,5000
10;2;1,6275;0,4890;1,9544;0,3345;1,1635;5,0926;2,8000;0,4000;0,5000
11;2;2,4412;0,7336;2,9316;0,5017;1,7453;9,1667;2,8000;0,4000;0,5000
12;2;2,4412;0,7336;2,9316;0,5017;1,7453;9,1667;2,8000;0,4000;0,5000
13;2;2,4412;0,7336;2,9316;0,5017;1,7453;9,1667;2,8000;0,4000;0,5000
14;2;2,4412;0,7336;2,9316;0,5017;1,7453;9,1667;2,8000;0,4000;0,5000
15;3;2,2668;0,7336;2,9316;0,5017;1,7453;9,1667;2,6000;0,4000;0,5000
16;3;2,2668;0,7336;2,9316;0,5017;1,7453;9,1667;2,6000;0,4000;0,5000
17;3;2,2668;0,7336;2,9316;0,5017;1,7453;9,1667;2,6000;0,4000;0,5000
18;3;3,0224;0,9781;3,9088;0,6690;2,3270;12,2222;2,6000;0,4000;0,5000
19;3;3,0224;0,9781;3,9088;0,6690;2,3270;12,2222;2,6000;0,4000;0,5000
20;3;3,0224;0,9781;3,9088;0,6690;2,3270;12,2222;2,6000;0,4000;0,5000
21;3;3,0224;0,9781;3,9088;0,6690;2,3270;12,2222;2,6000;0,4000;0,5000
22;4;3,0224;0,9781;3,9088;0,6690;2,3270;12,2222;2,6000;0,4000;0,5000
23;4;3,0224;0,9781;3,9088;0,6690;2,3270;12,2222;2,6000;0,4000;0,5000
24;4;3,0224;0,9781;3,9088;0,6690;2,3270;12,2222;2,6000;0,4000;0,5000
25;4;3,0224;0,9781;3,9088;0,6690;2,3270;12,2222;2,6000;0,4000;0,5000
26;4;3,0224;0,9781;3,9088;0,6690;2,3270;12,2222;2,6000;0,4000;0,5000
27;4;3,0224;0,9781;3,9088;0,6690;2,3270;12,2222;2,6000;0,4000;0,5000
28;4;3,0224;0,9781;3,9088;0,6690;2,3270;12,2222;2,6000;0,4000;0,5000
29;5;2,7899;0,9781;3,9088;0,6690;2,3270;12,2222;2,4000;0,4000;0,5000
30;5;2,7899;0,9781;3,9088;0,6690;2,3270;12,2222;2,4000;0,4000;0,5000
31;5;2,7899;0,9781;3,9088;0,6690;2,3270;12,2222;2,4000;0,4000;0,5000
32;5;2,7899;0,9781;3,9088;0,6690;2,3270;12,2222;2,4000;0,4000;0,5000
33;5;4,1849;1,4671;5,8632;1,0035;3,4905;17,3149;2,4000;0,4000;0,5000
34;5;4,1849;1,4671;5,8632;1,0035;3,4905;17,3149;2,4000;0,4000;0,5000
35;5;4,1849;1,4671;5,8632;1,0035;3,4905;17,3149;2,4000;0,4000;0,5000
36;6;4,1849;1,4671;5,8632;1,0035;3,4905;17,3149;2,4000;0,4000;0,5000
37;6;4,1849;1,4671;5,8632;1,0035;3,4905;17,3149;2,4000;0,4000;0,5000
38;6;4,1849;1,4671;5,8632;1,0035;3,4905;17,3149;2,4000;0,4000;0,5000
