Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
63;9;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
64;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
65;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
66;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
67;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
68;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
69;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
70;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
71;11;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
72;11;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
73;11;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
74;11;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
75;11;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
76;11;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
77;11;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
78;12;3,1117;1,8117;4,2266;0,7234;2,5162;29,5372;2,4074;0,2756;0,5953
79;12;3,1117;1,8117;4,2266;0,7234;2,5162;29,5372;2,4074;0,2756;0,5953
80;12;3,1117;1,8117;4,2266;0,7234;2,5162;29,5372;2,4074;0,2756;0,5953
81;12;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
82;12;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
83;12;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
84;12;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
85;13;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
86;13;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
87;13;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
88;13;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
89;13;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
90;13;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
91;13;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
92;14;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
93;14;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
94;14;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
95;14;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
96;14;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
97;14;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
98;14;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
99;15;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
100;15;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
101;15;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
102;15;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
103;15;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
104;15;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
105;15;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
106;16;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
107;16;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
108;16;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
109;16;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
110;16;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
111;16;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
112;16;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
113;17;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
114;17;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
115;17;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
116;17;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
117;17;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
118;17;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
119;17;3,1117;1,8117;4,2266;0,7234;2,5162;35,6483;2,4074;0,2756;0,5953
