Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
63;9;8,8616;2,6623;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
64;10;8,8616;2,6623;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
65;10;8,8616;2,6623;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
66;10;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
67;10;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
68;10;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
69;10;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
70;10;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
71;11;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
72;11;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
73;11;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
74;11;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
75;11;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
76;11;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
77;11;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
78;12;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
79;12;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
80;12;8,8616;2,2175;11,4605;1,9615;6,8228;29,5372;2,6000;0,4000;0,5000
81;12;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
82;12;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
83;12;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
84;12;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
85;13;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
86;13;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
87;13;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
88;13;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
89;13;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
90;13;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
91;13;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
92;14;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
93;14;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
94;14;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
95;14;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
96;14;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
97;14;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
98;14;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
99;15;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
100;15;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
101;15;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
102;15;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
103;15;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
104;15;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
105;15;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
106;16;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
107;16;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
108;16;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
109;16;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
110;16;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
111;16;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
112;16;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
113;17;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
114;17;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
115;17;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
116;17;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
117;17;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
118;17;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
119;17;8,8616;2,2175;11,4605;1,9615;6,8228;35,6483;2,6000;0,4000;0,5000
120;18;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
121;18;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
122;18;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
123;18;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
124;18;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
125;18;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
126;18;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
127;19;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
128;19;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
129;19;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
130;19;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
131;19;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
132;19;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
133;19;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
134;20;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
135;20;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
136;20;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
137;20;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
138;20;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
139;20;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
140;20;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
141;21;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
142;21;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
143;21;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
144;21;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
145;21;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
146;21;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
147;21;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
148;22;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
149;22;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
150;22;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
151;22;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
152;22;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
153;22;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
154;22;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
155;23;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
156;23;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
157;23;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
158;23;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
159;23;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
160;23;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
161;23;8,1799;2,2175;11,4605;1,9615;6,8228;35,6483;2,4000;0,4000;0,5000
