Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5) (CaO/1.39)/MgO;Rapporto K:Ca (1:1) (CaO/1.19)/K2O
1;1;1,0564;2,4064;1,0443;0,1787;0,6217;5,0926;3,4017;0,4000;0,5000;;;
2;1;1,0564;2,4064;1,0443;0,1787;0,6217;5,0926;3,4017;0,4000;0,5000;;;
3;1;1,0564;2,4064;1,0443;0,1787;0,6217;5,0926;3,4017;0,4000;0,5000;;;
4;1;1,0564;2,4064;1,0443;0,1787;0,6217;5,0926;3,4017;0,4000;0,5000;;;
5;1;1,0564;2,4064;1,0443;0,1787;0,6217;5,0926;3,4017;0,4000;0,5000;;;
6;1;1,0564;2,4064;1,0443;0,1787;0,6217;5,0926;3,4017;0,4000;0,5000;;;
7;1;1,0564;2,4064;1,0443;0,1787;0,6217;5,0926;3,4017;0,4000;0,5000;;;
8;2;1,0564;2,4064;1,0443;0,1787;0,6217;5,0926;3,4017;0,4000;0,5000;;;
9;2;1,0564;2,4064;1,0443;0,1787;0,6217;5,0926;3,4017;0,4000;0,5000;;;
10;2;1,0564;2,4064;1,0443;0,1787;0,6217;5,0926;3,4017;0,4000;0,5000;;;
11;2;1,0564;2,4064;1,0443;0,1787;0,6217;9,1667;3,4017;0,4000;0,5000;;;
12;2;1,0564;2,4064;1,0443;0,1787;0,6217;9,1667;3,4017;0,4000;0,5000;;;
13;2;1,0564;2,4064;1,0443;0,1787;0,6217;9,1667;3,4017;0,4000;0,5000;;;
14;2;1,0564;2,4064;1,0443;0,1787;0,6217;9,1667;3,4017;0,4000;0,5000;;;
15;3;1,0564;2,4064;1,0443;0,1787;0,6217;9,1667;3,4017;0,4000;0,5000;;;
16;3;1,7839;2,8310;1,2531;0,2145;0,7460;9,1667;4,7869;0,4000;0,5000;;;
17;3;1,7839;2,8310;1,2531;0,2145;0,7460;9,1667;4,7869;0,4000;0,5000;;;
18;3;1,7839;2,8310;1,2531;0,2145;0,7460;12,2222;4,7869;0,4000;0,5000;;;
19;3;1,7839;2,8310;1,2531;0,2145;0,7460;12,2222;4,7869;0,4000;0,5000;;;
20;3;1,7839;2,8310;1,2531;0,2145;0,7460;12,2222;4,7869;0,4000;0,5000;;;
21;3;1,7839;2,8310;1,2531;0,2145;0,7460;12,2222;4,7869;0,4000;0,5000;;;
22;4;1,7839;2,8310;1,2531;0,2145;0,7460;12,2222;4,7869;0,4000;0,5000;;;
23;4;1,7839;2,8310;1,2531;0,2145;0,7460;12,2222;4,7869;0,4000;0,5000;;;
24;4;1,7839;2,8310;1,2531;0,2145;0,7460;12,2222;4,7869;0,4000;0,5000;;;
25;4;1,7839;2,8310;1,2531;0,2145;0,7460;12,2222;4,7869;0,4000;0,5000;;;
26;4;4,9832;2,8310;3,4808;0,5957;2,0722;12,2222;4,8140;0,4000;0,5000;;;
27;4;4,9832;2,8310;3,4808;0,5957;2,0722;12,2222;4,8140;0,4000;0,5000;;;
