Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
63;9;6,3289;3,6515;9,2478;1,5828;5,5055;29,5372;2,3012;0,4000;0,5000
64;10;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
65;10;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
66;10;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
67;10;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
68;10;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
69;10;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
70;10;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
71;11;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
72;11;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
73;11;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
74;11;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
75;11;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
76;11;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
77;11;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
78;12;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
79;12;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
80;12;8,0550;4,6474;11,7699;2,0144;7,0069;29,5372;2,3012;0,4000;0,5000
81;12;8,0550;4,6474;11,7699;2,0144;7,0069;35,6483;2,3012;0,4000;0,5000
82;12;9,7810;5,6433;14,2920;2,4461;8,5084;35,6483;2,3012;0,4000;0,5000
83;12;9,7810;5,6433;14,2920;2,4461;8,5084;35,6483;2,3012;0,4000;0,5000
84;12;9,7810;5,6433;14,2920;2,4461;8,5084;35,6483;2,3012;0,4000;0,5000
85;13;9,7810;5,6433;14,2920;2,4461;8,5084;35,6483;2,3012;0,4000;0,5000
86;13;9,7810;5,6433;14,2920;2,4461;8,5084;35,6483;2,3012;0,4000;0,5000
87;13;9,7810;5,6433;14,2920;2,4461;8,5084;35,6483;2,3012;0,4000;0,5000
88;13;9,7810;5,6433;14,2920;2,4461;8,5084;35,6483;2,3012;0,4000;0,5000
89;13;9,7810;5,6433;14,2920;2,4461;8,5084;35,6483;2,3012;0,4000;0,5000
90;13;9,7810;5,6433;14,2920;2,4461;8,5084;35,6483;2,3012;0,4000;0,5000
91;13;9,7810;5,6433;14,2920;2,4461;8,5084;35,6483;2,3012;0,4000;0,5000
