Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
63;9;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
64;10;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
65;10;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
66;10;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
67;10;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
68;10;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
69;10;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
70;10;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
71;11;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
72;11;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
73;11;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
74;11;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
75;11;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
76;11;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
77;11;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
78;12;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
79;12;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
80;12;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
81;12;12,9241;5,4284;19,7535;3,3808;11,7598;35,6483;2,2000;0,4000;0,5000
82;12;12,9241;5,4284;19,7535;3,3808;11,7598;35,6483;2,2000;0,4000;0,5000
83;12;12,9241;5,4284;19,7535;3,3808;11,7598;35,6483;2,2000;0,4000;0,5000
84;12;12,9241;5,4284;19,7535;3,3808;11,7598;35,6483;2,2000;0,4000;0,5000
85;13;12,9241;5,4284;19,7535;3,3808;11,7598;35,6483;2,2000;0,4000;0,5000
86;13;12,9241;5,4284;19,7535;3,3808;11,7598;35,6483;2,2000;0,4000;0,5000
87;13;12,9241;5,4284;19,7535;3,3808;11,7598;35,6483;2,2000;0,4000;0,5000
88;13;12,9241;5,4284;19,7535;3,3808;11,7598;35,6483;2,2000;0,4000;0,5000
89;13;12,9241;5,4284;19,7535;3,3808;11,7598;35,6483;2,2000;0,4000;0,5000
90;13;12,9241;5,4284;19,7535;3,3808;11,7598;35,6483;2,2000;0,4000;0,5000
91;13;12,9241;5,4284;19,7535;3,3808;11,7598;35,6483;2,2000;0,4000;0,5000
