Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
63;9;6,2297;1,9189;3,5789;0,3216;1,4914;29,5372;5,8531;0,3000;0,3500
64;10;6,2297;1,9189;3,5789;0,3216;1,4914;29,5372;5,8531;0,3000;0,3500
65;10;6,2297;1,9189;3,5789;0,3216;1,4914;29,5372;5,8531;0,3000;0,3500
66;10;6,2297;1,9189;3,5789;0,3216;1,4914;29,5372;5,8531;0,3000;0,3500
67;10;6,2297;1,9189;3,5789;0,3216;1,4914;29,5372;5,8531;0,3000;0,3500
68;10;6,2297;1,9189;3,5789;0,3216;1,4914;29,5372;5,8531;0,3000;0,3500
69;10;6,2297;1,9189;3,5789;0,3216;1,4914;29,5372;5,8531;0,3000;0,3500
70;10;6,2297;1,9189;3,5789;0,3216;1,4914;29,5372;5,8531;0,3000;0,3500
71;11;3,7124;1,3955;4,2296;0,3800;1,7626;29,5372;2,9514;0,3000;0,3500
72;11;3,7124;1,3955;4,2296;0,3800;1,7626;29,5372;2,9514;0,3000;0,3500
73;11;3,7124;1,3955;4,2296;0,3800;1,7626;29,5372;2,9514;0,3000;0,3500
74;11;3,7124;1,3955;4,2296;0,3800;1,7626;29,5372;2,9514;0,3000;0,3500
75;11;3,7124;1,3955;4,2296;0,3800;1,7626;29,5372;2,9514;0,3000;0,3500
76;11;3,7124;1,3955;4,2296;0,3800;1,7626;29,5372;2,9514;0,3000;0,3500
77;11;3,7124;1,3955;4,2296;0,3800;1,7626;29,5372;2,9514;0,3000;0,3500
78;12;3,7124;1,3955;4,2296;0,3800;1,7626;29,5372;2,9514;0,3000;0,3500
79;12;3,7124;1,3955;4,2296;0,3800;1,7626;29,5372;2,9514;0,3000;0,3500
80;12;3,7124;1,3955;4,2296;0,3800;1,7626;29,5372;2,9514;0,3000;0,3500
81;12;3,7124;1,3955;4,2296;0,3800;1,7626;35,6483;2,9514;0,3000;0,3500
82;12;3,7124;1,3955;4,2296;0,3800;1,7626;35,6483;2,9514;0,3000;0,3500
83;12;3,7124;1,3955;4,2296;0,3800;1,7626;35,6483;2,9514;0,3000;0,3500
84;12;3,7124;1,3955;4,2296;0,3800;1,7626;35,6483;2,9514;0,3000;0,3500
85;13;3,7124;1,3955;4,2296;0,3800;1,7626;35,6483;2,9514;0,3000;0,3500
86;13;3,7124;1,3955;4,2296;0,3800;1,7626;35,6483;2,9514;0,3000;0,3500
87;13;3,7124;1,3955;4,2296;0,3800;1,7626;35,6483;2,9514;0,3000;0,3500
88;13;3,7124;1,3955;4,2296;0,3800;1,7626;35,6483;2,9514;0,3000;0,3500
89;13;3,7124;1,3955;4,2296;0,3800;1,7626;35,6483;2,9514;0,3000;0,3500
90;13;3,7124;1,3955;4,2296;0,3800;1,7626;35,6483;2,9514;0,3000;0,3500
91;13;3,7124;1,3955;4,2296;0,3800;1,7626;35,6483;2,9514;0,3000;0,3500
