Cod Prodotto;Des Prodotto;Cod Uso Varieta;Des Uso Varieta;CODI_OCCU;CODI_DEST_USO;CODI_USO;CODI_QUAL;DESC_OCCU;DEST_USO;DESC_USO;DESC_QUAL
337;GALEGA O CAPRAGGINE;053;ERBAIO IN PUREZZA, ANNUALE - NON PERMANENTE;337;002;053;000;GALEGA O CAPRAGGINE;DA FORAGGIO;ERBAIO IN PUREZZA, ANNUALE - NON PERMANENTE;
338;GIAGGIOLO (IRIS) PALLIDA;004;FIORE RECISO;338;010;023;000;GIAGGIOLO (IRIS) PALLIDA;DA VIVAIO;FIORE RECISO;
340;GIAGGIOLO O GIGLIO  BIANCO  IRIS FIORENTINA;000;;340;000;000;000;GIAGGIOLO O GIGLIO  BIANCO  IRIS FIORENTINA;;;
340;GIAGGIOLO O GIGLIO  BIANCO  IRIS FIORENTINA;004;FIORE RECISO;340;010;023;000;GIAGGIOLO O GIGLIO  BIANCO  IRIS FIORENTINA;DA VIVAIO;FIORE RECISO;
341;SORBO;000;;176;000;000;000;SORBO;;;
341;SORBO;002;DA LEGNO;176;004;000;000;SORBO;DA LEGNO;;
342;GRINDELIA;000;;342;000;000;000;GRINDELIA;;;
343;GUALDO;000;;343;000;000;000;GUALDO;;;
344;IPERICO;000;;344;000;000;000;IPERICO;;;
345;ISSOPO;000;;345;000;000;000;ISSOPO;;;
346;GRANO TURANICUM O FRUMENTO ORIENTALE O GRANO KHORASAN DA SEME;000;;346;008;000;000;GRANO TURANICUM O FRUMENTO ORIENTALE O GRANO KHORASAN;DA SEME;;
347;GRANO TURANICUM O FRUMENTO ORIENTALE O GRANO KHORASAN;000;;346;011;000;000;GRANO TURANICUM O FRUMENTO ORIENTALE O GRANO KHORASAN;FAVE, SEMI, GRANELLA;;
348;MALVA;000;;348;000;000;000;MALVA;;;
349;MARRUBIO O ROBBIO;000;;349;000;000;000;MARRUBIO O ROBBIO;;;
350;AGROSTIDE PER LA PRODUZIONE DI SEME (SP. AGROSTIS CANINA L.);000;VARIETA' GENERICA;350;008;000;000;AGROSTIDE CANINA;DA SEME;;
351;AGROSTIDE PER LA PRODUZIONE DI SEME (SP. AGROSTIS GIGANTEA ROTH.);000;VARIETA' GENERICA;351;008;000;000;AGROSTIDE  GIGANTEA E BIANCA;DA SEME;;
352;AGROSTIDE PER LA PRODUZIONE DI SEME (SP. AGROSTIS STOLONIFERA L.);000;VARIETA' GENERICA;352;008;000;000;AGROSTIDE  STOLONIFERA;DA SEME;;
353;AGROSTIDE PER LA PRODUZIONE DI SEME (SP. AGROSTIS CAPILLARIS L.);000;VARIETA' GENERICA;353;008;000;000;AGROSTIDE  TENUE;DA SEME;;
354;CODA DI VOLPE PER LA PRODUZIONE DI SEME (SP. ARRHENATHERUM ELEATIUS L.);000;VARIETA' GENERICA;022;008;000;000;CODA DI VOLPE;DA SEME;;
355;ERBA MAZZOLINA PER LA PRODUZIONE DI SEME (SP. DACTYLIS GLOMERATA L.);000;VARIETA' GENERICA;032;008;000;000;ERBA MAZZOLINA;DA SEME;;
357;ERBA MEDICA PER LA PRODUZIONE DI SEME (SP. MEDICAGO SATIVA L. (VARIETA'));000;VARIETA' GENERICA;357;008;000;000;ERBA MEDICA  (SP. MEDICAGO SATIVA L. (VARIETA'));DA SEME;;
357;ERBA MEDICA PER LA PRODUZIONE DI SEME (SP. MEDICAGO SATIVA L. (VARIETA'));055;PRATO PASCOLO IN PUREZZA  NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;357;008;055;043;ERBA MEDICA  (SP. MEDICAGO SATIVA L. (VARIETA'));DA SEME;PRATO PASCOLO IN PUREZZA  NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;DI LEGUMINOSE
359;FESTUCA PER LA PRODUZIONE DI SEME (SP. FESTUCA ARUNDINACEA SCHREB.);000;VARIETA' GENERICA;359;008;000;000;FESTUCA  (SP. FESTUCA ARUNDINACEA SCHREB.);DA SEME;;
360;FESTUCA PER LA PRODUZIONE DI SEME (SP. FESTUCA OVINA L.);000;VARIETA' GENERICA;360;008;000;000;FESTUCA  (SP. FESTUCA OVINA L.);DA SEME;;
361;FESTUCA PER LA PRODUZIONE DI SEME (SP. FESTUCA PRATENSIS HUDS.);000;VARIETA' GENERICA;361;008;000;000;FESTUCA  (SP. FESTUCA PRATENSIS HUDS.);DA SEME;;
362;FESTUCA PER LA PRODUZIONE DI SEME (SP. FESTUCA RUBRA L.);000;VARIETA' GENERICA;362;008;000;000;FESTUCA (SP. FESTUCA RUBRA L.);DA SEME;;
363;FESTUCA PER LA PRODUZIONE DI SEME (SP. FESTULOLIUM);000;VARIETA' GENERICA;363;008;000;000;FESTUCA  (SP. FESTULOLIUM);DA SEME;;
